no,smiles,tm
68,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CCC4=C([N+]([O-])=O)CCC[C@]4(C)[C@@]3([H])CC[C@]12C,69
69,O=C(OC)C1=CC=C([N+]([O-])=O)C=C1[N+]#[C-],69
70,O=C(OC1=CC=C(C)C=C1)OC2=C(C(C)(C)C)C=C([N+]([O-])=O)C(C)=C2[N+]([O-])=O,69
71,C=C(N(N=O)C(C)CC)N(N=O)C(C)CC,69
72,[N-]=[N+]=C(C(C1=CC=CC=C1)=O)C(C2=CC=CC=C2[N+]([O-])=O)=O,69
73,O=[N+](C1=CC=CC=C1NC2CCCCCC2)[O-],69
74,C=C(C)CN(C1=C([N+]([O-])=O)C=C(C(C)(C)C)C=C1[N+]([O-])=O)CC,69
75,O=C(OC(CC(C)=C)(C)C)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,69
76,O=C(N(CCCC)C)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,69
77,[O-]/[NH+]=C(C(NC1=CC=CC=C1)=O)/C2=CC=CC=C2,69
78,O=[N+](C1=CC=C(NN=CCCCCCCC2=CC=CC=C2)C=C1)[O-],69
79,CCCCCCCCCCCCCCCCC([N+]([O-])=O)CCCCCCCCCCC=CCCCCCCCCCCC[N+]([O-])=O,69
80,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4[C@@H](ON=O)CCC[C@]4(C)[C@@]3([H])CC[C@]12C,69
81,COC1=C(OCC2=CC=CC=C2)C3=C(C=C1)C=CN=C3CC4=CC=CC([N+]([O-])=O)=C4,69
82,CC1=C(C=CC2=CC=C([N+]([O-])=O)C=C2)C(C)C3=C1C=CC=C3,69
83,CCN(C1=CC=CC2=C([N+]([O-])=O)C=CC(N(CC)CC)=C12)CC,69
84,O=C(C1=C([N+]([O-])=O)N=CN1C)NCC(OC)OC,69
